add-none,1,10000,20000,252920,12,0
add-m,1,10000,20000,919573,45,0
add-s,1,10000,20000,492050,24,0
add-c,1,10000,20000,585634,29,0
add-none,2,10000,40000,509246,12,4226
add-m,2,10000,40000,3911917,97,0
add-s,2,10000,40000,5219755,130,0
add-c,2,10000,40000,1987039,49,0
add-none,4,10000,80000,1316609,16,2196
add-m,4,10000,80000,11185172,139,0
add-s,4,10000,80000,38993348,487,0
add-c,4,10000,80000,5940639,74,0
add-none,8,10000,160000,2375048,14,-2249
add-m,8,10000,160000,22233888,138,0
add-s,8,10000,160000,152499534,953,0
add-c,8,10000,160000,17498677,109,0
add-none,12,10000,240000,3725671,15,-1242
add-m,12,10000,240000,35739394,148,0
add-s,12,10000,240000,238357200,993,0
add-c,12,10000,240000,26684254,111,0
